Date & Time,Customer ID,Product ID,Quantity Sold,Unit Price,Total Transaction Amount,Store ID
2023-01-01 09:16:52,C0853,P040,1,23.11,23.11,S003
2023-01-01 16:25:54,C0578,P042,5,72.3,361.49,S010
2023-01-01 19:29:23,C0011,P064,3,11.36,34.09,S002
2023-01-01 22:19:25,C0043,P013,2,49.08,98.16,S004
2023-01-01 22:22:54,C0009,P050,9,12.6,113.39,S009
2023-01-01 22:27:57,C0955,P090,4,55.24,220.95,S002
2023-01-02 08:23:13,C0613,P070,2,12.63,25.26,S004
2023-01-02 23:56:19,C0042,P009,9,88.28,794.5,S008
2023-01-03 07:52:06,C0443,P055,6,67.8,406.78,S002
2023-01-04 01:40:59,C0266,P022,7,58.01,406.08,S008
2023-01-04 05:55:15,C0572,P040,8,96.47,771.77,S006
2023-01-04 14:28:50,C0709,P062,5,67.53,337.65,S003
2023-01-05 06:27:19,C0077,P041,7,15.29,107.06,S006
2023-01-05 07:35:48,C0972,P048,2,53.33,106.65,S001
2023-01-05 16:50:02,C0101,P098,5,88.35,441.75,S002
2023-01-07 05:37:11,C0743,P059,4,19.2,76.81,S005
2023-01-07 17:50:08,C0488,P040,6,48.53,291.2,S005
2023-01-07 21:08:33,C0598,P089,5,48.69,243.45,S003
2023-01-08 02:27:12,C0493,P095,2,85.02,170.03,S003
2023-01-08 07:30:22,C0496,P027,2,84.92,169.84,S002
2023-01-08 11:20:07,C0738,P062,7,38.69,270.82,S010
2023-01-08 11:50:26,C0902,P099,3,82.64,247.93,S001
2023-01-08 21:03:27,C0815,P043,2,47.6,95.2,S006
2023-01-09 12:27:20,C0830,P065,4,97.28,389.14,S010
2023-01-09 19:31:55,C0943,P098,4,11.97,47.89,S006
2023-01-10 00:30:38,C0365,P069,4,87.82,351.27,S002
2023-01-10 01:15:23,C0383,P028,2,39.63,79.27,S005
2023-01-10 12:02:47,C0188,P092,9,64.44,579.97,S006
2023-01-10 19:04:36,C0312,P077,6,91.91,551.46,S006
2023-01-10 19:39:28,C0495,P020,9,2.71,24.37,S003
2023-01-11 11:07:56,C0261,P015,7,19.98,139.89,S001
2023-01-11 21:14:23,C0606,P041,4,33.79,135.17,S004
2023-01-12 02:11:29,C0264,P045,4,20.05,80.19,S008
2023-01-12 17:52:36,C0112,P043,3,3.82,11.45,S002
2023-01-12 21:25:51,C0778,P019,7,36.81,257.69,S005
2023-01-13 02:31:36,C0058,P029,7,47.09,329.66,S001
2023-01-13 07:52:13,C0734,P091,2,37.23,74.47,S001
2023-01-13 09:40:01,C0505,P014,9,26.03,234.27,S008
2023-01-13 22:09:32,C0112,P050,8,80.25,642.02,S009
2023-01-14 08:32:06,C0177,P028,4,49.53,198.12,S003
2023-01-14 09:09:27,C0151,P081,7,89.72,628.03,S009
2023-01-14 10:27:19,C0021,P077,5,81.15,405.77,S002
2023-01-15 00:42:27,C0058,P091,2,52.84,105.69,S009
2023-01-15 02:03:46,C0424,P066,8,91.43,731.47,S001
2023-01-16 02:14:33,C0771,P081,7,27.11,189.78,S001
2023-01-16 07:18:12,C0614,P018,7,91.07,637.51,S002
2023-01-16 21:44:11,C0243,P083,1,32.62,32.62,S005
2023-01-17 02:13:28,C0270,P037,2,57.77,115.54,S006
2023-01-18 03:18:49,C0638,P060,8,55.54,444.34,S004
2023-01-18 11:24:22,C0575,P054,2,28.31,56.63,S001
2023-01-19 04:54:09,C0547,P021,1,23.85,23.85,S010
2023-01-19 08:56:36,C0988,P084,4,7.66,30.65,S003
2023-01-19 13:34:42,C0376,P083,4,40.74,162.94,S002
2023-01-19 16:36:14,C0833,P099,5,43.07,215.34,S004
2023-01-20 21:18:55,C0914,P026,8,32.3,258.41,S006
2023-01-20 21:54:23,C0337,P064,3,13.5,40.51,S008
2023-01-20 23:36:50,C0098,P068,1,27.79,27.79,S010
2023-01-21 17:38:46,C0888,P033,8,97.65,781.17,S002
2023-01-22 00:32:03,C0388,P047,7,70.03,490.24,S007
2023-01-23 10:18:39,C0597,P092,5,56.69,283.45,S010
